timestamp,human_time,phase,vulnerability_type,temperature_temperature-sensor-01,temperature_temperature-sensor-02,temperature_temperature-sensor-03,temperature_temperature-sensor-04,gateway_temp_temperature-sensor-01,gateway_temp_temperature-sensor-02,gateway_temp_temperature-sensor-04,true_temp_temperature-sensor-01,true_temp_temperature-sensor-02,true_temp_temperature-sensor-03,true_temp_temperature-sensor-04,cpu_temperature-sensor-01,cpu_temperature-sensor-02,cpu_temperature-sensor-03,cpu_temperature-sensor-04,memory_temperature-sensor-01,memory_temperature-sensor-02,memory_temperature-sensor-03,memory_temperature-sensor-04,fault_code_temperature-sensor-01,fault_code_temperature-sensor-02,fault_code_temperature-sensor-03,fault_code_temperature-sensor-04,latency_temperature_temperature-sensor-01,latency_fault_status_temperature-sensor-01,latency_temperature_temperature-sensor-02,latency_fault_status_temperature-sensor-02,latency_resources_temperature-sensor-02,latency_temperature_temperature-sensor-03,latency_fault_status_temperature-sensor-03,latency_resources_temperature-sensor-03,latency_temperature_temperature-sensor-04,latency_fault_status_temperature-sensor-04,latency_resources_temperature-sensor-04,latency_resources_temperature-sensor-01,latency_ms_temperature_temperature-sensor-01,latency_ms_temperature_temperature-sensor-01_estimated,latency_ms_temperature_temperature-sensor-01_method,latency_ms_fault_status_temperature-sensor-01,latency_ms_fault_status_temperature-sensor-01_estimated,latency_ms_fault_status_temperature-sensor-01_method,latency_ms_resources_temperature-sensor-01,latency_ms_resources_temperature-sensor-01_estimated,latency_ms_resources_temperature-sensor-01_method,latency_ms_temperature_temperature-sensor-02,latency_ms_temperature_temperature-sensor-02_estimated,latency_ms_temperature_temperature-sensor-02_method,latency_ms_fault_status_temperature-sensor-02,latency_ms_fault_status_temperature-sensor-02_estimated,latency_ms_fault_status_temperature-sensor-02_method,latency_ms_resources_temperature-sensor-02,latency_ms_resources_temperature-sensor-02_estimated,latency_ms_resources_temperature-sensor-02_method,latency_ms_temperature_temperature-sensor-03,latency_ms_temperature_temperature-sensor-03_estimated,latency_ms_temperature_temperature-sensor-03_method,latency_ms_fault_status_temperature-sensor-03,latency_ms_fault_status_temperature-sensor-03_estimated,latency_ms_fault_status_temperature-sensor-03_method,latency_ms_resources_temperature-sensor-03,latency_ms_resources_temperature-sensor-03_estimated,latency_ms_resources_temperature-sensor-03_method,latency_ms_temperature_temperature-sensor-04,latency_ms_temperature_temperature-sensor-04_estimated,latency_ms_temperature_temperature-sensor-04_method,latency_ms_fault_status_temperature-sensor-04,latency_ms_fault_status_temperature-sensor-04_estimated,latency_ms_fault_status_temperature-sensor-04_method,latency_ms_resources_temperature-sensor-04,latency_ms_resources_temperature-sensor-04_estimated,latency_ms_resources_temperature-sensor-04_method,sensor_gateway_dev_temperature-sensor-01,sensor_true_dev_temperature-sensor-01,gateway_true_dev_temperature-sensor-01,sensor_gateway_dev_temperature-sensor-02,sensor_true_dev_temperature-sensor-02,gateway_true_dev_temperature-sensor-02,sensor_true_dev_temperature-sensor-03,sensor_gateway_dev_temperature-sensor-04,sensor_true_dev_temperature-sensor-04,gateway_true_dev_temperature-sensor-04,reporting_interval_temperature-sensor-01,reporting_interval_temperature-sensor-02,reporting_interval_temperature-sensor-03,reporting_interval_temperature-sensor-04,response_time_ms,temperature_temperature-sensor-01_roll_mean,temperature_temperature-sensor-01_roll_std,temperature_temperature-sensor-01_zscore,temperature_temperature-sensor-02_roll_mean,temperature_temperature-sensor-02_roll_std,temperature_temperature-sensor-02_zscore,temperature_temperature-sensor-03_roll_mean,temperature_temperature-sensor-03_roll_std,temperature_temperature-sensor-03_zscore,temperature_temperature-sensor-04_roll_mean,temperature_temperature-sensor-04_roll_std,temperature_temperature-sensor-04_zscore,interval_stability_temperature-sensor-01,interval_stability_temperature-sensor-04,interval_stability_temperature-sensor-03,interval_stability_temperature-sensor-02
1745235099.1480532,2025-04-21 11:31:39,active,drift,26.16,24.97,27.07,23.27,24.850000381469727,25.26,23.51,26.27,25.98,26.6,24.16,0.0,4.0,4.0,2.0,33.02,30.17,31.8,33.11,0.0,0.0,0.0,0.0,126715.0,126717.0,126727.0,126727.0,126727.0,126727.0,126727.0,126727.0,126633.0,126645.0,126608.0,126710.0,9.69500170117318,False,interpolation,10000.0,True,highest_bucket,737.5093721636873,False,interpolation,10000.0,True,highest_bucket,10000.0,True,highest_bucket,737.5018741221218,False,interpolation,10000.0,True,highest_bucket,10000.0,True,highest_bucket,737.5,False,interpolation,10000.0,True,highest_bucket,10000.0,True,highest_bucket,737.5506592616586,False,interpolation,1.3099996185302736,0.10999999999999943,1.419999618530273,0.2900000000000027,1.0100000000000016,0.7199999999999989,0.46999999999999886,0.240000000000002,0.8900000000000006,0.6499999999999986,,,,,1520390000.0,26.16,,,24.97,,,27.07,,,23.27,,,,,,
1745235101.1481538,2025-04-21 11:31:41,active,drift,25.16,25.53,26.39,25.16,24.700000762939453,25.12,25.32,24.87,25.14,24.9,23.6,4.0,4.0,4.0,2.0,33.02,30.17,31.8,33.11,0.0,0.0,0.0,2.0,126716.0,126718.0,126729.0,126729.0,126729.0,126729.0,126729.0,126728.0,126634.0,126646.0,126609.0,126712.0,9.695002394213564,False,interpolation,10000.0,True,highest_bucket,737.5093720157529,False,interpolation,10000.0,True,highest_bucket,10000.0,True,highest_bucket,737.5018740925447,False,interpolation,10000.0,True,highest_bucket,10000.0,True,highest_bucket,737.5,False,interpolation,10000.0,True,highest_bucket,10000.0,True,highest_bucket,737.5506588614494,False,interpolation,0.459999237060547,0.28999999999999915,0.16999923706054787,0.41000000000000014,0.39000000000000057,0.019999999999999574,1.490000000000002,0.16000000000000014,1.5599999999999987,1.7199999999999989,2.000100612640381,2.000100612640381,2.000100612640381,2.000100612640381,1520408000.0,25.66,0.7071067811865476,0.7071067811865475,25.25,0.3959797974644682,0.7071067811865476,26.73,0.4808326112068521,0.7071067811865476,24.215,1.3364318164425752,0.7071067811865475,,,,
1745235103.1482258,2025-04-21 11:31:43,active,drift,25.16,25.53,26.39,25.16,24.700000762939453,25.12,25.32,24.87,25.14,24.9,23.6,4.0,4.0,4.0,2.0,33.02,30.17,31.8,33.11,0.0,0.0,0.0,2.0,126716.0,126718.0,126729.0,126729.0,126729.0,126729.0,126729.0,126728.0,126634.0,126646.0,126609.0,126712.0,9.695002394213564,False,interpolation,10000.0,True,highest_bucket,737.5093720157529,False,interpolation,10000.0,True,highest_bucket,10000.0,True,highest_bucket,737.5018740925447,False,interpolation,10000.0,True,highest_bucket,10000.0,True,highest_bucket,737.5,False,interpolation,10000.0,True,highest_bucket,10000.0,True,highest_bucket,737.5506588614494,False,interpolation,0.459999237060547,0.28999999999999915,0.16999923706054787,0.41000000000000014,0.39000000000000057,0.019999999999999574,1.490000000000002,0.16000000000000014,1.5599999999999987,1.7199999999999989,2.0000720024108887,2.0000720024108887,2.0000720024108887,2.0000720024108887,1520408000.0,25.493333333333336,0.5773502691896255,0.5773502691896302,25.343333333333334,0.32331615074619174,0.5773502691896257,26.616666666666664,0.39259818304894534,0.5773502691896167,24.53,1.0911920087683928,0.5773502691896247,2.0230487285229136e-05,2.0230487285229136e-05,2.0230487285229136e-05,2.0230487285229136e-05
1745235105.1482973,2025-04-21 11:31:45,active,drift,24.87,25.3,25.09,25.13,24.3799991607666,25.58,25.32,24.87,25.7,26.37,24.56,4.0,4.0,2.0,2.0,33.02,30.17,31.8,33.11,0.0,0.0,0.0,2.0,126717.0,126719.0,126730.0,126730.0,126730.0,126730.0,126730.0,126730.0,126636.0,126648.0,126610.0,126713.0,9.694999243932557,False,interpolation,10000.0,True,highest_bucket,737.5093719417873,False,interpolation,10000.0,True,highest_bucket,10000.0,True,highest_bucket,737.5018740777565,False,interpolation,10000.0,True,highest_bucket,10000.0,True,highest_bucket,737.5,False,interpolation,10000.0,True,highest_bucket,10000.0,True,highest_bucket,737.5506584612468,False,interpolation,0.49000083923339943,0.0,0.49000083923339943,0.2799999999999976,0.3999999999999986,0.120000000000001,1.2800000000000011,0.19000000000000128,0.5700000000000003,0.7600000000000016,2.0000715255737305,2.0000715255737305,2.0000715255737305,2.0000715255737305,1520423000.0,25.3375,0.5651179817819747,0.8272608819238766,25.3325,0.2648741839691703,0.12269976451831811,26.235,0.8279090127141588,1.3830022169299883,24.68,0.9401063769595437,0.4786692347044514,1.665748106008183e-05,1.665748106008183e-05,1.665748106008183e-05,1.665748106008183e-05
1745235107.1483703,2025-04-21 11:31:47,active,drift,24.87,25.3,25.09,25.13,24.3799991607666,25.58,25.32,24.87,25.7,26.37,24.56,4.0,4.0,2.0,2.0,33.02,30.17,31.8,33.11,0.0,0.0,0.0,2.0,126717.0,126719.0,126730.0,126730.0,126730.0,126730.0,126730.0,126730.0,126636.0,126648.0,126610.0,126713.0,9.694999243932557,False,interpolation,10000.0,True,highest_bucket,737.5093719417873,False,interpolation,10000.0,True,highest_bucket,10000.0,True,highest_bucket,737.5018740777565,False,interpolation,10000.0,True,highest_bucket,10000.0,True,highest_bucket,737.5,False,interpolation,10000.0,True,highest_bucket,10000.0,True,highest_bucket,737.5506584612468,False,interpolation,0.49000083923339943,0.0,0.49000083923339943,0.2799999999999976,0.3999999999999986,0.120000000000001,1.2800000000000011,0.19000000000000128,0.5700000000000003,0.7600000000000016,2.000072956085205,2.000072956085205,2.000072956085205,2.000072956085205,1520423000.0,25.244,0.5321935738056209,0.7027518151442373,25.326,0.2298477757125363,0.11311834504118594,26.006,0.8810675343014291,1.0396478866132186,24.77,0.8386596449096615,0.42925637615337725,1.4238067968125783e-05,1.4238067968125783e-05,1.4238067968125783e-05,1.4238067968125783e-05
1745235109.148456,2025-04-21 11:31:49,active,drift,24.87,25.3,25.09,25.13,24.3799991607666,25.58,25.32,24.87,25.7,26.37,24.56,4.0,4.0,2.0,2.0,33.02,30.17,31.8,33.11,0.0,0.0,0.0,2.0,126717.0,126719.0,126730.0,126730.0,126730.0,126730.0,126730.0,126730.0,126636.0,126648.0,126610.0,126713.0,9.694999243932557,False,interpolation,10000.0,True,highest_bucket,737.5093719417873,False,interpolation,10000.0,True,highest_bucket,10000.0,True,highest_bucket,737.5018740777565,False,interpolation,10000.0,True,highest_bucket,10000.0,True,highest_bucket,737.5,False,interpolation,10000.0,True,highest_bucket,10000.0,True,highest_bucket,737.5506584612468,False,interpolation,0.49000083923339943,0.0,0.49000083923339943,0.2799999999999976,0.3999999999999986,0.120000000000001,1.2800000000000011,0.19000000000000128,0.5700000000000003,0.7600000000000016,2.0000858306884766,2.0000858306884766,2.0000858306884766,2.0000858306884766,1520423000.0,24.986,0.15883954167649447,0.7302967433402363,25.392000000000003,0.12597618822618867,0.7302967433402371,25.610000000000003,0.7120393247567168,0.730296743340225,25.142000000000003,0.01643167672514251,0.7302967433410197,1.267436395648414e-05,1.267436395648414e-05,1.267436395648414e-05,1.267436395648414e-05
1745235111.1485374,2025-04-21 11:31:51,active,drift,24.47,25.31,25.18,25.2,25.90999984741211,25.58,25.3,25.77,25.7,26.37,24.98,0.0,2.0,2.0,2.0,33.02,30.17,31.8,33.11,0.0,0.0,0.0,2.0,126718.0,126720.0,126731.0,126731.0,126731.0,126731.0,126731.0,126731.0,126637.0,126649.0,126612.0,126714.0,9.694999936995174,False,interpolation,10000.0,True,highest_bucket,737.509371867823,False,interpolation,10000.0,True,highest_bucket,10000.0,True,highest_bucket,737.5018740629686,False,interpolation,10000.0,True,highest_bucket,10000.0,True,highest_bucket,737.5,False,interpolation,10000.0,True,highest_bucket,10000.0,True,highest_bucket,737.5506576608602,False,interpolation,1.4399998474121105,1.3000000000000007,0.1399998474121098,0.2699999999999996,0.39000000000000057,0.120000000000001,1.1900000000000013,0.10000000000000142,0.21999999999999886,0.3200000000000003,2.0000813007354736,2.0000813007354736,2.0000813007354736,2.0000813007354736,1520436000.0,24.848000000000003,0.24580480060405602,1.5378056045735597,25.348000000000003,0.10183319694480744,0.373159255921224,25.368,0.5726429952422386,0.3283022783164777,25.15,0.030822070014838287,1.6222142113079956,6.469012673186969e-06,6.469012673186969e-06,6.469012673186969e-06,6.469012673186969e-06
1745235113.1486177,2025-04-21 11:31:53,active,drift,24.47,25.31,25.18,25.2,25.90999984741211,25.58,25.3,25.77,25.7,26.37,24.98,0.0,2.0,2.0,2.0,33.02,30.17,31.8,33.11,0.0,0.0,0.0,2.0,126718.0,126720.0,126731.0,126731.0,126731.0,126731.0,126731.0,126731.0,126637.0,126649.0,126612.0,126714.0,9.694999936995174,False,interpolation,10000.0,True,highest_bucket,737.509371867823,False,interpolation,10000.0,True,highest_bucket,10000.0,True,highest_bucket,737.5018740629686,False,interpolation,10000.0,True,highest_bucket,10000.0,True,highest_bucket,737.5,False,interpolation,10000.0,True,highest_bucket,10000.0,True,highest_bucket,737.5506576608602,False,interpolation,1.4399998474121105,1.3000000000000007,0.1399998474121098,0.2699999999999996,0.39000000000000057,0.120000000000001,1.1900000000000013,0.10000000000000142,0.21999999999999886,0.3200000000000003,2.0000803470611572,2.0000803470611572,2.0000803470611572,2.0000803470611572,1520436000.0,24.71,0.21908902300206784,1.0954451150103344,25.304,0.005477225575023679,1.09544511501597,25.125999999999998,0.049295030175503574,1.0954451150095155,25.157999999999998,0.038340579025356716,1.095445115010514,6.006539598729956e-06,6.006539598729956e-06,6.006539598729956e-06,6.006539598729956e-06
1745235115.148716,2025-04-21 11:31:55,active,drift,26.2,25.57,24.53,25.62,25.610000610351562,25.58,25.2,24.77,25.86,25.71,24.98,2.0,0.0,2.0,0.0,33.02,30.17,31.8,33.11,0.0,0.0,0.0,2.0,126719.0,126721.0,126732.0,126732.0,126732.0,126732.0,126732.0,126732.0,126638.0,126650.0,126613.0,126715.0,9.695000630040322,False,interpolation,10000.0,True,highest_bucket,737.50937179386,False,interpolation,10000.0,True,highest_bucket,10000.0,True,highest_bucket,737.5018740481808,False,interpolation,10000.0,True,highest_bucket,10000.0,True,highest_bucket,737.5,False,interpolation,10000.0,True,highest_bucket,10000.0,True,highest_bucket,737.5506572606765,False,interpolation,0.5899993896484368,1.4299999999999997,0.8400006103515629,0.00999999999999801,0.28999999999999915,0.28000000000000114,1.1799999999999997,0.4200000000000017,0.6400000000000006,0.21999999999999886,2.00009822845459,2.00009822845459,2.00009822845459,2.00009822845459,1520448000.0,24.976000000000003,0.7128674491095793,1.7170092441853773,25.358,0.11861703081766846,1.7872644302307181,25.014000000000003,0.27428087793356,1.7646144479574066,25.256,0.2064703368525365,1.762965109414113,9.32792695355289e-06,9.32792695355289e-06,9.32792695355289e-06,9.32792695355289e-06
1745235117.1487894,2025-04-21 11:31:57,active,drift,26.2,25.57,24.53,25.62,25.610000610351562,25.58,25.2,24.77,25.86,25.71,24.98,2.0,0.0,2.0,0.0,33.02,30.17,31.8,33.11,0.0,0.0,0.0,2.0,126719.0,126721.0,126732.0,126732.0,126732.0,126732.0,126732.0,126732.0,126638.0,126650.0,126613.0,126715.0,9.695000630040322,False,interpolation,10000.0,True,highest_bucket,737.50937179386,False,interpolation,10000.0,True,highest_bucket,10000.0,True,highest_bucket,737.5018740481808,False,interpolation,10000.0,True,highest_bucket,10000.0,True,highest_bucket,737.5,False,interpolation,10000.0,True,highest_bucket,10000.0,True,highest_bucket,737.5506572606765,False,interpolation,0.5899993896484368,1.4299999999999997,0.8400006103515629,0.00999999999999801,0.28999999999999915,0.28000000000000114,1.1799999999999997,0.4200000000000017,0.6400000000000006,0.21999999999999886,2.0000734329223633,2.0000734329223633,2.0000734329223633,2.0000734329223633,1520448000.0,25.242,0.8896459970122923,1.0768328112724164,25.412,0.1442913718834203,1.0950065685677781,24.902,0.34156990499750606,1.0890889231084806,25.354000000000003,0.2444994887520209,1.087936835196346,9.19164693913492e-06,9.19164693913492e-06,9.19164693913492e-06,9.19164693913492e-06
