timestamp,human_time,phase,vulnerability_type,temperature_temperature-sensor-01,temperature_temperature-sensor-02,temperature_temperature-sensor-03,temperature_temperature-sensor-04,gateway_temp_temperature-sensor-01,gateway_temp_temperature-sensor-02,gateway_temp_temperature-sensor-04,true_temp_temperature-sensor-01,true_temp_temperature-sensor-02,true_temp_temperature-sensor-03,true_temp_temperature-sensor-04,cpu_temperature-sensor-01,cpu_temperature-sensor-02,cpu_temperature-sensor-03,cpu_temperature-sensor-04,memory_temperature-sensor-01,memory_temperature-sensor-02,memory_temperature-sensor-03,memory_temperature-sensor-04,fault_code_temperature-sensor-01,fault_code_temperature-sensor-02,fault_code_temperature-sensor-03,fault_code_temperature-sensor-04,latency_temperature_temperature-sensor-01,latency_fault_status_temperature-sensor-01,latency_temperature_temperature-sensor-02,latency_fault_status_temperature-sensor-02,latency_temperature_temperature-sensor-03,latency_fault_status_temperature-sensor-03,latency_resources_temperature-sensor-03,latency_temperature_temperature-sensor-04,latency_fault_status_temperature-sensor-04,latency_resources_temperature-sensor-04,latency_resources_temperature-sensor-01,latency_resources_temperature-sensor-02,latency_ms_temperature_temperature-sensor-01,latency_ms_temperature_temperature-sensor-01_estimated,latency_ms_temperature_temperature-sensor-01_method,latency_ms_fault_status_temperature-sensor-01,latency_ms_fault_status_temperature-sensor-01_estimated,latency_ms_fault_status_temperature-sensor-01_method,latency_ms_resources_temperature-sensor-01,latency_ms_resources_temperature-sensor-01_estimated,latency_ms_resources_temperature-sensor-01_method,latency_ms_temperature_temperature-sensor-02,latency_ms_temperature_temperature-sensor-02_estimated,latency_ms_temperature_temperature-sensor-02_method,latency_ms_fault_status_temperature-sensor-02,latency_ms_fault_status_temperature-sensor-02_estimated,latency_ms_fault_status_temperature-sensor-02_method,latency_ms_resources_temperature-sensor-02,latency_ms_resources_temperature-sensor-02_estimated,latency_ms_resources_temperature-sensor-02_method,latency_ms_temperature_temperature-sensor-03,latency_ms_temperature_temperature-sensor-03_estimated,latency_ms_temperature_temperature-sensor-03_method,latency_ms_fault_status_temperature-sensor-03,latency_ms_fault_status_temperature-sensor-03_estimated,latency_ms_fault_status_temperature-sensor-03_method,latency_ms_resources_temperature-sensor-03,latency_ms_resources_temperature-sensor-03_estimated,latency_ms_resources_temperature-sensor-03_method,latency_ms_temperature_temperature-sensor-04,latency_ms_temperature_temperature-sensor-04_estimated,latency_ms_temperature_temperature-sensor-04_method,latency_ms_fault_status_temperature-sensor-04,latency_ms_fault_status_temperature-sensor-04_estimated,latency_ms_fault_status_temperature-sensor-04_method,latency_ms_resources_temperature-sensor-04,latency_ms_resources_temperature-sensor-04_estimated,latency_ms_resources_temperature-sensor-04_method,sensor_gateway_dev_temperature-sensor-01,sensor_true_dev_temperature-sensor-01,gateway_true_dev_temperature-sensor-01,sensor_gateway_dev_temperature-sensor-02,sensor_true_dev_temperature-sensor-02,gateway_true_dev_temperature-sensor-02,sensor_true_dev_temperature-sensor-03,sensor_gateway_dev_temperature-sensor-04,sensor_true_dev_temperature-sensor-04,gateway_true_dev_temperature-sensor-04,reporting_interval_temperature-sensor-01,reporting_interval_temperature-sensor-02,reporting_interval_temperature-sensor-03,reporting_interval_temperature-sensor-04,response_time_ms,temperature_temperature-sensor-01_roll_mean,temperature_temperature-sensor-01_roll_std,temperature_temperature-sensor-01_zscore,temperature_temperature-sensor-02_roll_mean,temperature_temperature-sensor-02_roll_std,temperature_temperature-sensor-02_zscore,temperature_temperature-sensor-03_roll_mean,temperature_temperature-sensor-03_roll_std,temperature_temperature-sensor-03_zscore,temperature_temperature-sensor-04_roll_mean,temperature_temperature-sensor-04_roll_std,temperature_temperature-sensor-04_zscore,interval_stability_temperature-sensor-02,interval_stability_temperature-sensor-03,interval_stability_temperature-sensor-04,interval_stability_temperature-sensor-01
1745437550.0187056,2025-04-23 19:45:50,baseline,drift,24.46,25.4,23.57,22.28,25.399999618530273,24.87,21.93,25.5,26.51,25.56,22.42,4.0,4.0,0.0,0.0,32.73,32.39,32.64,32.59,0.0,0.0,0.0,0.0,2988.0,2988.0,2988.0,2988.0,2988.0,2988.0,2988.0,2980.0,2980.0,2979.0,2987.0,2988.0,9.690488431876608,False,interpolation,10000.0,True,highest_bucket,737.5,False,interpolation,10000.0,True,highest_bucket,10000.0,True,highest_bucket,737.5,False,interpolation,10000.0,True,highest_bucket,10000.0,True,highest_bucket,737.5,False,interpolation,10000.0,True,highest_bucket,10000.0,True,highest_bucket,737.5,False,interpolation,0.9399996185302726,1.0399999999999991,0.10000038146972656,0.5299999999999976,1.110000000000003,1.6400000000000006,1.9899999999999984,0.3500000000000014,0.14000000000000057,0.490000000000002,,,,,35830000.0,24.46,,,25.4,,,23.57,,,22.28,,,,,,
1745437552.0187812,2025-04-23 19:45:52,baseline,drift,24.46,25.4,23.57,22.28,25.399999618530273,24.87,21.93,25.5,26.51,25.56,22.42,4.0,4.0,0.0,0.0,32.73,32.39,32.64,32.59,0.0,0.0,0.0,0.0,2988.0,2988.0,2988.0,2988.0,2988.0,2988.0,2988.0,2980.0,2980.0,2979.0,2987.0,2988.0,9.690488431876608,False,interpolation,10000.0,True,highest_bucket,737.5,False,interpolation,10000.0,True,highest_bucket,10000.0,True,highest_bucket,737.5,False,interpolation,10000.0,True,highest_bucket,10000.0,True,highest_bucket,737.5,False,interpolation,10000.0,True,highest_bucket,10000.0,True,highest_bucket,737.5,False,interpolation,0.9399996185302726,1.0399999999999991,0.10000038146972656,0.5299999999999976,1.110000000000003,1.6400000000000006,1.9899999999999984,0.3500000000000014,0.14000000000000057,0.490000000000002,2.000075578689575,2.000075578689575,2.000075578689575,2.000075578689575,35830000.0,24.46,0.0,,25.4,0.0,,23.57,0.0,,22.28,0.0,,,,,
1745437554.018921,2025-04-23 19:45:54,baseline,drift,24.46,25.4,23.57,22.28,25.399999618530273,24.87,21.93,25.5,26.51,25.56,22.42,4.0,4.0,0.0,0.0,32.73,32.39,32.64,32.59,0.0,0.0,0.0,0.0,2988.0,2988.0,2988.0,2988.0,2988.0,2988.0,2988.0,2980.0,2980.0,2979.0,2987.0,2988.0,9.690488431876608,False,interpolation,10000.0,True,highest_bucket,737.5,False,interpolation,10000.0,True,highest_bucket,10000.0,True,highest_bucket,737.5,False,interpolation,10000.0,True,highest_bucket,10000.0,True,highest_bucket,737.5,False,interpolation,10000.0,True,highest_bucket,10000.0,True,highest_bucket,737.5,False,interpolation,0.9399996185302726,1.0399999999999991,0.10000038146972656,0.5299999999999976,1.110000000000003,1.6400000000000006,1.9899999999999984,0.3500000000000014,0.14000000000000057,0.490000000000002,2.0001397132873535,2.0001397132873535,2.0001397132873535,2.0001397132873535,35830000.0,24.46,0.0,,25.4,0.0,,23.57,0.0,,22.28,0.0,,4.535000899772198e-05,4.535000899772198e-05,4.535000899772198e-05,4.535000899772198e-05
1745437556.0190957,2025-04-23 19:45:56,baseline,drift,25.87,25.24,25.74,25.33,24.989999771118164,25.51,25.53,24.84,25.09,25.15,23.35,2.0,4.0,0.0,0.0,32.73,32.39,32.64,32.59,0.0,0.0,0.0,2.0,2989.0,2989.0,2989.0,2989.0,2989.0,2989.0,2989.0,2981.0,2981.0,2981.0,2988.0,2989.0,9.69051901336074,False,interpolation,10000.0,True,highest_bucket,737.5,False,interpolation,10000.0,True,highest_bucket,10000.0,True,highest_bucket,737.5,False,interpolation,10000.0,True,highest_bucket,10000.0,True,highest_bucket,737.5,False,interpolation,10000.0,True,highest_bucket,10000.0,True,highest_bucket,737.5,False,interpolation,0.8800002288818369,1.0300000000000011,0.1499997711181642,0.2700000000000031,0.14999999999999858,0.4200000000000017,0.5899999999999999,0.20000000000000284,1.9799999999999969,2.1799999999999997,2.0001747608184814,2.0001747608184814,2.0001747608184814,2.0001747608184814,35843000.0,24.8125,0.7050000000000004,1.5000000000000004,25.36,0.08000000000000036,1.5000000000000056,24.1125,1.0849999999999989,1.4999999999999996,23.0425,1.5249999999999986,1.5,5.0296903093358736e-05,5.0296903093358736e-05,5.0296903093358736e-05,5.0296903093358736e-05
1745437558.0192397,2025-04-23 19:45:58,baseline,drift,25.87,25.24,25.74,25.33,24.989999771118164,25.51,25.53,24.84,25.09,25.15,23.35,2.0,4.0,0.0,0.0,32.73,32.39,32.64,32.59,0.0,0.0,0.0,2.0,2989.0,2989.0,2989.0,2989.0,2989.0,2989.0,2989.0,2981.0,2981.0,2981.0,2988.0,2989.0,9.69051901336074,False,interpolation,10000.0,True,highest_bucket,737.5,False,interpolation,10000.0,True,highest_bucket,10000.0,True,highest_bucket,737.5,False,interpolation,10000.0,True,highest_bucket,10000.0,True,highest_bucket,737.5,False,interpolation,10000.0,True,highest_bucket,10000.0,True,highest_bucket,737.5,False,interpolation,0.8800002288818369,1.0300000000000011,0.1499997711181642,0.2700000000000031,0.14999999999999858,0.4200000000000017,0.5899999999999999,0.20000000000000284,1.9799999999999969,2.1799999999999997,2.0001440048217773,2.0001440048217773,2.0001440048217773,2.0001440048217773,35843000.0,25.024,0.7722888060822846,1.095445115010332,25.336,0.08763560920082698,1.0954451150103282,24.438,1.1885579497862093,1.095445115010333,23.5,1.670553800390755,1.0954451150103324,4.16584874643408e-05,4.16584874643408e-05,4.16584874643408e-05,4.16584874643408e-05
1745437560.0193849,2025-04-23 19:46:00,baseline,drift,24.49,24.73,25.52,24.92,24.84000015258789,25.51,25.53,24.84,25.55,24.91,23.72,0.0,2.0,0.0,0.0,32.73,32.39,32.64,32.59,0.0,0.0,0.0,2.0,2990.0,2990.0,2990.0,2990.0,2990.0,2990.0,2990.0,2982.0,2982.0,2982.0,2989.0,2990.0,9.690390544707093,False,interpolation,10000.0,True,highest_bucket,737.5,False,interpolation,10000.0,True,highest_bucket,10000.0,True,highest_bucket,737.5,False,interpolation,10000.0,True,highest_bucket,10000.0,True,highest_bucket,737.5,False,interpolation,10000.0,True,highest_bucket,10000.0,True,highest_bucket,737.5,False,interpolation,0.3500001525878922,0.3500000000000014,1.5258789076710855e-07,0.7800000000000011,0.8200000000000003,0.03999999999999915,0.6099999999999994,0.6099999999999994,1.2000000000000028,1.8100000000000023,2.000145196914673,2.000145196914673,2.000145196914673,2.000145196914673,35855000.0,25.029999999999998,0.7669093818698536,0.7041249106685703,25.202,0.27571724646818935,1.711898715245794,24.828,1.1518984330226336,0.6007474098077908,24.028,1.6044531778771223,0.5559526524670683,3.64536471851435e-05,3.64536471851435e-05,3.64536471851435e-05,3.64536471851435e-05
1745437562.0195296,2025-04-23 19:46:02,baseline,drift,24.49,24.73,25.52,24.92,24.84000015258789,25.51,25.53,24.84,25.55,24.91,23.72,0.0,2.0,0.0,0.0,32.73,32.39,32.64,32.59,0.0,0.0,0.0,2.0,2990.0,2990.0,2990.0,2990.0,2990.0,2990.0,2990.0,2982.0,2982.0,2982.0,2989.0,2990.0,9.690390544707093,False,interpolation,10000.0,True,highest_bucket,737.5,False,interpolation,10000.0,True,highest_bucket,10000.0,True,highest_bucket,737.5,False,interpolation,10000.0,True,highest_bucket,10000.0,True,highest_bucket,737.5,False,interpolation,10000.0,True,highest_bucket,10000.0,True,highest_bucket,737.5,False,interpolation,0.3500001525878922,0.3500000000000014,1.5258789076710855e-07,0.7800000000000011,0.8200000000000003,0.03999999999999915,0.6099999999999994,0.6099999999999994,1.2000000000000028,1.8100000000000023,2.0001447200775146,2.0001447200775146,2.0001447200775146,2.0001447200775146,35855000.0,25.036,0.7614328598110287,0.7170691321825912,25.068,0.3153886491299284,1.071693610193173,25.218,0.9278038585821895,0.3254998318949618,24.556,1.2887319348879351,0.282448188134372,1.4188810259245222e-05,1.4188810259245222e-05,1.4188810259245222e-05,1.4188810259245222e-05
1745437564.0196824,2025-04-23 19:46:04,baseline,drift,24.49,24.73,25.52,24.92,24.84000015258789,25.51,25.53,24.84,25.55,24.91,23.72,0.0,2.0,0.0,0.0,32.73,32.39,32.64,32.59,0.0,0.0,0.0,2.0,2990.0,2990.0,2990.0,2990.0,2990.0,2990.0,2990.0,2982.0,2982.0,2982.0,2989.0,2990.0,9.690390544707093,False,interpolation,10000.0,True,highest_bucket,737.5,False,interpolation,10000.0,True,highest_bucket,10000.0,True,highest_bucket,737.5,False,interpolation,10000.0,True,highest_bucket,10000.0,True,highest_bucket,737.5,False,interpolation,10000.0,True,highest_bucket,10000.0,True,highest_bucket,737.5,False,interpolation,0.3500001525878922,0.3500000000000014,1.5258789076710855e-07,0.7800000000000011,0.8200000000000003,0.03999999999999915,0.6099999999999994,0.6099999999999994,1.2000000000000028,1.8100000000000023,2.000152826309204,2.000152826309204,2.000152826309204,2.000152826309204,35855000.0,25.041999999999998,0.7558571293571309,0.7302967433402193,24.933999999999997,0.2793385043276381,0.7302967433402021,25.607999999999997,0.12049896265113752,0.7302967433401941,25.084,0.22456624857713128,0.7302967433401694,1.3052627896426457e-05,1.3052627896426457e-05,1.3052627896426457e-05,1.3052627896426457e-05
1745437566.0197694,2025-04-23 19:46:06,baseline,drift,25.0,24.9,25.15,25.92,24.469999313354492,25.51,25.41,24.77,25.55,24.91,22.92,0.0,4.0,0.0,0.0,32.73,32.39,32.64,32.59,0.0,0.0,0.0,2.0,2992.0,2992.0,2991.0,2991.0,2991.0,2991.0,2991.0,2983.0,2983.0,2983.0,2990.0,2991.0,9.690451745379878,False,interpolation,10000.0,True,highest_bucket,737.5,False,interpolation,10000.0,True,highest_bucket,10000.0,True,highest_bucket,737.5,False,interpolation,10000.0,True,highest_bucket,10000.0,True,highest_bucket,737.5,False,interpolation,10000.0,True,highest_bucket,10000.0,True,highest_bucket,737.5,False,interpolation,0.5300006866455078,0.23000000000000043,0.3000006866455074,0.610000000000003,0.6500000000000021,0.03999999999999915,0.23999999999999844,0.5100000000000016,3.0,2.4899999999999984,2.000087022781372,2.000087022781372,2.000087022781372,2.000087022781372,35869000.0,24.868000000000002,0.6020963378065018,0.21923401906227716,24.866,0.2216528817768954,0.15339299776946552,25.49,0.2126029162546958,1.5992254762520937,25.202,0.4388849507558997,1.635964046530589,2.6920403335235656e-05,2.6920403335235656e-05,2.6920403335235656e-05,2.6920403335235656e-05
1745437568.0199118,2025-04-23 19:46:08,baseline,drift,25.0,24.9,25.15,25.92,24.469999313354492,25.51,25.41,24.77,25.55,24.91,22.92,0.0,4.0,0.0,0.0,32.73,32.39,32.64,32.59,0.0,0.0,0.0,2.0,2992.0,2992.0,2991.0,2991.0,2991.0,2991.0,2991.0,2983.0,2983.0,2983.0,2990.0,2991.0,9.690451745379878,False,interpolation,10000.0,True,highest_bucket,737.5,False,interpolation,10000.0,True,highest_bucket,10000.0,True,highest_bucket,737.5,False,interpolation,10000.0,True,highest_bucket,10000.0,True,highest_bucket,737.5,False,interpolation,10000.0,True,highest_bucket,10000.0,True,highest_bucket,737.5,False,interpolation,0.5300006866455078,0.23000000000000043,0.3000006866455074,0.610000000000003,0.6500000000000021,0.03999999999999915,0.23999999999999844,0.5100000000000016,3.0,2.4899999999999984,2.0001423358917236,2.0001423358917236,2.0001423358917236,2.0001423358917236,35869000.0,24.694,0.27933850432763496,1.0954451150103346,24.798,0.09311283477589209,1.0954451150101727,25.372,0.20265734627691634,1.0954451150103124,25.32,0.5477225575051755,1.095445115010316,2.6787046215556362e-05,2.6787046215556362e-05,2.6787046215556362e-05,2.6787046215556362e-05
