latency_column,phase,measured_percent,estimated_percent,total_points
latency_ms_temperature_temperature-sensor-01,baseline,100.0,0.0,75
latency_ms_temperature_temperature-sensor-01,install,100.0,0.0,300
latency_ms_temperature_temperature-sensor-01,shell,100.0,0.0,450
latency_ms_temperature_temperature-sensor-01,recovery,100.0,0.0,150
latency_ms_fault_status_temperature-sensor-01,baseline,0.0,100.0,75
latency_ms_fault_status_temperature-sensor-01,install,0.0,100.0,300
latency_ms_fault_status_temperature-sensor-01,shell,0.0,100.0,450
latency_ms_fault_status_temperature-sensor-01,recovery,0.0,100.0,150
latency_ms_resources_temperature-sensor-01,baseline,100.0,0.0,75
latency_ms_resources_temperature-sensor-01,install,100.0,0.0,300
latency_ms_resources_temperature-sensor-01,shell,100.0,0.0,450
latency_ms_resources_temperature-sensor-01,recovery,100.0,0.0,150
latency_ms_temperature_temperature-sensor-02,baseline,0.0,100.0,75
latency_ms_temperature_temperature-sensor-02,install,0.0,100.0,300
latency_ms_temperature_temperature-sensor-02,shell,0.0,100.0,450
latency_ms_temperature_temperature-sensor-02,recovery,0.0,100.0,150
latency_ms_fault_status_temperature-sensor-02,baseline,0.0,100.0,75
latency_ms_fault_status_temperature-sensor-02,install,0.0,100.0,300
latency_ms_fault_status_temperature-sensor-02,shell,0.0,100.0,450
latency_ms_fault_status_temperature-sensor-02,recovery,0.0,100.0,150
latency_ms_resources_temperature-sensor-02,baseline,100.0,0.0,75
latency_ms_resources_temperature-sensor-02,install,100.0,0.0,300
latency_ms_resources_temperature-sensor-02,shell,100.0,0.0,450
latency_ms_resources_temperature-sensor-02,recovery,100.0,0.0,150
latency_ms_temperature_temperature-sensor-03,baseline,0.0,100.0,75
latency_ms_temperature_temperature-sensor-03,install,0.0,100.0,300
latency_ms_temperature_temperature-sensor-03,shell,0.0,100.0,450
latency_ms_temperature_temperature-sensor-03,recovery,0.0,100.0,150
latency_ms_fault_status_temperature-sensor-03,baseline,0.0,100.0,75
latency_ms_fault_status_temperature-sensor-03,install,0.0,100.0,300
latency_ms_fault_status_temperature-sensor-03,shell,0.0,100.0,450
latency_ms_fault_status_temperature-sensor-03,recovery,0.0,100.0,150
latency_ms_resources_temperature-sensor-03,baseline,100.0,0.0,75
latency_ms_resources_temperature-sensor-03,install,100.0,0.0,300
latency_ms_resources_temperature-sensor-03,shell,100.0,0.0,450
latency_ms_resources_temperature-sensor-03,recovery,100.0,0.0,150
latency_ms_temperature_temperature-sensor-04,baseline,0.0,100.0,75
latency_ms_temperature_temperature-sensor-04,install,0.0,100.0,300
latency_ms_temperature_temperature-sensor-04,shell,0.0,100.0,450
latency_ms_temperature_temperature-sensor-04,recovery,0.0,100.0,150
latency_ms_fault_status_temperature-sensor-04,baseline,0.0,100.0,75
latency_ms_fault_status_temperature-sensor-04,install,0.0,100.0,300
latency_ms_fault_status_temperature-sensor-04,shell,0.0,100.0,450
latency_ms_fault_status_temperature-sensor-04,recovery,0.0,100.0,150
latency_ms_resources_temperature-sensor-04,baseline,100.0,0.0,75
latency_ms_resources_temperature-sensor-04,install,100.0,0.0,300
latency_ms_resources_temperature-sensor-04,shell,100.0,0.0,450
latency_ms_resources_temperature-sensor-04,recovery,100.0,0.0,150
