attack_type,fault_type,lstm_detectability,records,sequences
no_attack,none,0.13191466,540,525
no_attack,stuck,0.5387783,540,525
no_attack,drift,0.68310916,540,525
no_attack,spike,0.6498491,540,525
no_attack,dropout,0.68781793,540,525
bola,none,0.6543444,540,525
bola,stuck,0.67605436,540,525
bola,drift,0.68929887,540,525
bola,spike,0.6610748,540,525
bola,dropout,0.6894245,540,525
ddos,none,0.77757615,540,525
ddos,stuck,0.84797865,540,525
ddos,drift,0.99998814,540,525
ddos,spike,0.9999929,540,525
ddos,dropout,0.99999326,540,525
cmd_injection,none,0.99999326,540,525
cmd_injection,stuck,0.99999326,540,525
cmd_injection,drift,0.99999326,540,525
cmd_injection,spike,0.99999326,540,525
cmd_injection,dropout,0.99999326,540,525
resource_exhaustion,none,0.99999326,540,525
resource_exhaustion,stuck,0.99999326,540,525
resource_exhaustion,drift,0.9999922,540,525
resource_exhaustion,spike,0.99999034,540,525
resource_exhaustion,dropout,0.9999901,540,525
