attack_type,fault_type,lstm_detectability,records,sequences
no_attack,stuck,0.11522359,3600,3585
no_attack,dropout,0.08360492,3600,3585
no_attack,drift,0.033101544,3600,3585
no_attack,none,0.07950877,3600,3585
no_attack,spike,0.0440511,3600,3585
bola,stuck,0.19740729,120,105
bola,dropout,0.8995256,120,105
bola,drift,0.74973726,120,105
bola,none,0.19843505,120,105
bola,spike,2.9955001e-05,120,105
ddos,stuck,0.9063697,120,105
ddos,dropout,0.7635385,120,105
ddos,drift,0.6996409,120,105
ddos,none,0.73149043,120,105
ddos,spike,0.34208673,120,105
cmd_injection,stuck,0.0013658147,120,105
cmd_injection,dropout,0.3508962,120,105
cmd_injection,drift,0.9108569,120,105
cmd_injection,none,0.18198211,120,105
cmd_injection,spike,0.7748255,120,105
resource_exhaustion,stuck,0.343852,120,105
resource_exhaustion,dropout,0.5253151,120,105
resource_exhaustion,drift,0.15074897,120,105
resource_exhaustion,none,0.44800547,120,105
resource_exhaustion,spike,0.060066532,120,105
