segment_id,scenario_type,fault_type,attack_type,is_unlabeled,num_records
scenario_1_normal_none,normal,none,no_attack,False,180
scenario_2_normal_none,normal,none,no_attack,False,180
scenario_3_normal_none,normal,none,no_attack,False,180
scenario_4_normal_stuck,normal,stuck,no_attack,True,180
scenario_5_normal_stuck,normal,stuck,no_attack,True,180
scenario_6_normal_stuck,normal,stuck,no_attack,False,180
scenario_7_normal_drift,normal,drift,no_attack,False,180
scenario_8_normal_drift,normal,drift,no_attack,False,180
scenario_9_normal_drift,normal,drift,no_attack,False,180
scenario_10_normal_spike,normal,spike,no_attack,False,180
scenario_11_normal_spike,normal,spike,no_attack,False,180
scenario_12_normal_spike,normal,spike,no_attack,True,180
scenario_13_normal_dropout,normal,dropout,no_attack,False,180
scenario_14_normal_dropout,normal,dropout,no_attack,True,180
scenario_15_normal_dropout,normal,dropout,no_attack,True,180
scenario_16_bola_none,bola,none,bola,False,180
scenario_17_bola_none,bola,none,bola,False,180
scenario_18_bola_none,bola,none,bola,True,180
scenario_19_bola_stuck,bola,stuck,bola,False,180
scenario_20_bola_stuck,bola,stuck,bola,False,180
scenario_21_bola_stuck,bola,stuck,bola,False,180
scenario_22_bola_drift,bola,drift,bola,False,180
scenario_23_bola_drift,bola,drift,bola,False,180
scenario_24_bola_drift,bola,drift,bola,False,180
scenario_25_bola_spike,bola,spike,bola,False,180
scenario_26_bola_spike,bola,spike,bola,False,180
scenario_27_bola_spike,bola,spike,bola,False,180
scenario_28_bola_dropout,bola,dropout,bola,False,180
scenario_29_bola_dropout,bola,dropout,bola,True,180
scenario_30_bola_dropout,bola,dropout,bola,False,180
scenario_31_ddos_none,ddos,none,ddos,False,180
scenario_32_ddos_none,ddos,none,ddos,True,180
scenario_33_ddos_none,ddos,none,ddos,True,180
scenario_34_ddos_stuck,ddos,stuck,ddos,False,180
scenario_35_ddos_stuck,ddos,stuck,ddos,False,180
scenario_36_ddos_stuck,ddos,stuck,ddos,True,180
scenario_37_ddos_drift,ddos,drift,ddos,False,180
scenario_38_ddos_drift,ddos,drift,ddos,False,180
scenario_39_ddos_drift,ddos,drift,ddos,False,180
scenario_40_ddos_spike,ddos,spike,ddos,False,180
scenario_41_ddos_spike,ddos,spike,ddos,False,180
scenario_42_ddos_spike,ddos,spike,ddos,False,180
scenario_43_ddos_dropout,ddos,dropout,ddos,False,180
scenario_44_ddos_dropout,ddos,dropout,ddos,False,180
scenario_45_ddos_dropout,ddos,dropout,ddos,False,180
scenario_46_cmd_injection_none,cmd_injection,none,cmd_injection,False,180
scenario_47_cmd_injection_none,cmd_injection,none,cmd_injection,False,180
scenario_48_cmd_injection_none,cmd_injection,none,cmd_injection,False,180
scenario_49_cmd_injection_stuck,cmd_injection,stuck,cmd_injection,False,180
scenario_50_cmd_injection_stuck,cmd_injection,stuck,cmd_injection,False,180
scenario_51_cmd_injection_stuck,cmd_injection,stuck,cmd_injection,False,180
scenario_52_cmd_injection_drift,cmd_injection,drift,cmd_injection,False,180
scenario_53_cmd_injection_drift,cmd_injection,drift,cmd_injection,False,180
scenario_54_cmd_injection_drift,cmd_injection,drift,cmd_injection,False,180
scenario_55_cmd_injection_spike,cmd_injection,spike,cmd_injection,True,180
scenario_56_cmd_injection_spike,cmd_injection,spike,cmd_injection,False,180
scenario_57_cmd_injection_spike,cmd_injection,spike,cmd_injection,False,180
scenario_58_cmd_injection_dropout,cmd_injection,dropout,cmd_injection,False,180
scenario_59_cmd_injection_dropout,cmd_injection,dropout,cmd_injection,False,180
scenario_60_cmd_injection_dropout,cmd_injection,dropout,cmd_injection,False,180
scenario_61_resource_exhaustion_none,resource_exhaustion,none,resource_exhaustion,False,180
scenario_62_resource_exhaustion_none,resource_exhaustion,none,resource_exhaustion,False,180
scenario_63_resource_exhaustion_none,resource_exhaustion,none,resource_exhaustion,False,180
scenario_64_resource_exhaustion_stuck,resource_exhaustion,stuck,resource_exhaustion,False,180
scenario_65_resource_exhaustion_stuck,resource_exhaustion,stuck,resource_exhaustion,False,180
scenario_66_resource_exhaustion_stuck,resource_exhaustion,stuck,resource_exhaustion,False,180
scenario_67_resource_exhaustion_drift,resource_exhaustion,drift,resource_exhaustion,False,180
scenario_68_resource_exhaustion_drift,resource_exhaustion,drift,resource_exhaustion,True,180
scenario_69_resource_exhaustion_drift,resource_exhaustion,drift,resource_exhaustion,True,180
scenario_70_resource_exhaustion_spike,resource_exhaustion,spike,resource_exhaustion,False,180
scenario_71_resource_exhaustion_spike,resource_exhaustion,spike,resource_exhaustion,False,180
scenario_72_resource_exhaustion_spike,resource_exhaustion,spike,resource_exhaustion,False,180
scenario_73_resource_exhaustion_dropout,resource_exhaustion,dropout,resource_exhaustion,False,180
scenario_74_resource_exhaustion_dropout,resource_exhaustion,dropout,resource_exhaustion,True,180
scenario_75_resource_exhaustion_dropout,resource_exhaustion,dropout,resource_exhaustion,True,180
